QT06,2,122381,Spring,5,4/29/2019 0:00,11:45 AM,11:55 AM,2019,15,,A,A,,,15,,,PIP,
BZ73,16,122370,Spring,5,4/29/2019 0:00,10:50 AM,10:55 AM,2019,3,,A,A,,,,,,PIP,
XZ100,4,122379,Spring,5,4/29/2019 0:00,10:25 AM,10:35 AM,2019,16,,A,A,,,3,,,PIP,
Q492,4,122374,Spring,5,4/29/2019 0:00,10:55 AM,11:10 AM,2019,15,,A,A,,,55,Partial Constr./Rest of Site Rated.,Northeast corner fenced off for construction.,PIP,
B228,16,122377,Spring,5,4/29/2019 0:00,10:00 AM,10:20 AM,2019,3,,A,A,,,8,,,PIP,
R109,1,122351,Spring,5,4/26/2019 0:00,9:41 AM,10:21 AM,2019,59,,A,A,,,5,,,PIP,
M071-38,14,122358,Spring,5,4/26/2019 0:00,12:30 PM,12:40 PM,2019,16,,A,A,,,0,,,PIP,
R144,1,122354,Spring,5,4/26/2019 0:00,11:41 AM,11:58 AM,2019,59,,A,A,,,0,,,PIP,
RZ239,1,122352,Spring,5,4/26/2019 0:00,10:34 AM,10:45 AM,2019,59,,A,A,,,0,,,PIP,
Q444,1,122348,Spring,5,4/26/2019 0:00,9:55 AM,10:20 AM,2019,18,,A,A,,,6,,,PIP,
QZ277,3,122355,Spring,5,4/26/2019 0:00,11:30 AM,11:40 AM,2019,18,,A,A,,,5,,,PIP,
Q024-ZN02,7,122349,Spring,5,4/26/2019 0:00,9:45 AM,10:45 AM,2019,57,3,A,A,,,25,,,PIP,
X011-ZN01,6,122361,Spring,5,4/26/2019 0:00,10:00 AM,10:45 AM,2019,58,,A,A,,,5,,,PIP,
Q298,1,122343,Spring,5,4/26/2019 0:00,10:30 AM,11:00 AM,2019,18,,A,A,,,6,,,PIP,
Q465,1,122347,Spring,5,4/26/2019 0:00,9:27 AM,9:45 AM,2019,18,,A,A,,,1,,Kayak launch locked gate.,PIP,
Q024-ZN05,7,122342,Spring,5,4/26/2019 0:00,9:50 AM,10:35 AM,2019,3,,A,A,,,2,,,PIP,
Q393F,3,122350,Spring,5,4/26/2019 0:00,11:05 AM,11:20 AM,2019,18,,A,A,,,1,,,PIP,
M258,15,122357,Spring,5,4/26/2019 0:00,11:45 AM,12:00 PM,2019,16,,A,A,,,1,,,PIP,
M071-ZN11,14,122345,Spring,5,4/26/2019 0:00,11:00 AM,11:34 AM,2019,11,,A,A,,,3,,,PIP,
X088-ZN01,9,122363,Spring,5,4/26/2019 0:00,11:33 AM,12:45 PM,2019,58,,A,A,,,,,,PIP,
M071-31,14,122359,Spring,5,4/26/2019 0:00,12:45 PM,1:00 PM,2019,16,,A,A,,,0,,,PIP,
MZ57,14,122360,Spring,5,4/26/2019 0:00,1:05 PM,1:10 PM,2019,16,,A,A,,,0,,,PIP,
Q040,3,122356,Spring,5,4/26/2019 0:00,11:45 AM,12:00 PM,2019,18,,A,A,,,2,,,PIP,
M071-ZN20,14,122346,Spring,5,4/26/2019 0:00,11:46 AM,12:21 PM,2019,11,,A,A,,,14,,,PIP,
M071-ZN12,14,122344,Spring,5,4/26/2019 0:00,10:22 AM,10:52 AM,2019,11,,A,A,,,14,,,PIP,
R022-05,1,122353,Spring,5,4/26/2019 0:00,10:54 AM,11:09 AM,2019,59,,A,A,,,0,,,PIP,
B359,3,122341,Spring,5,4/25/2019 0:00,11:46 AM,12:33 PM,2019,58,,A,A,,,,,,PIP,
Q371,14,122334,Spring,5,4/25/2019 0:00,10:16 AM,11:31 AM,2019,59,,A,A,,,1,,,PIP,
B216,3,122339,Spring,5,4/25/2019 0:00,10:45 AM,11:19 AM,2019,58,,A,A,,,,,,PIP,
Q389,14,122335,Spring,5,4/25/2019 0:00,12:28 PM,12:49 PM,2019,59,,A,A,,,4,,,PIP,
BZ224,2,122337,Spring,5,4/25/2019 0:00,9:50 AM,10:00 AM,2019,58,,A,A,,,,,,PIP,
RZ62,2,122328,Spring,5,4/25/2019 0:00,11:56 AM,11:59 AM,2019,1,,A,A,,,0,,,PIP,
RZ171,1,122324,Spring,5,4/25/2019 0:00,9:41 AM,9:46 AM,2019,1,,A,A,,,0,,,PIP,
R111,1,122325,Spring,5,4/25/2019 0:00,9:57 AM,10:34 AM,2019,1,,A,A,,,5,,,PIP,
RZ126,1,122326,Spring,5,4/25/2019 0:00,10:51 AM,11:00 AM,2019,1,,A,A,,,25,,,PIP,
R076,1,122327,Spring,5,4/25/2019 0:00,11:11 AM,11:39 AM,2019,1,,A,A,,,25,,,PIP,
B065-ZN07,15,122332,Spring,5,4/25/2019 0:00,12:34 PM,1:49 PM,2019,11,,U,A,,,80,,,PIP,
RT04,2,122329,Spring,5,4/25/2019 0:00,12:10 PM,12:17 PM,2019,1,,A,A,,,0,,,PIP,
BZ223,2,122336,Spring,5,4/25/2019 0:00,9:30 AM,9:40 AM,2019,58,,A,A,,,,,,PIP,
XZ119,3,122320,Spring,5,4/25/2019 0:00,10:08 AM,10:14 AM,2019,57,,A,A,,,0,,,PIP,
X010-05,3,122317,Spring,5,4/25/2019 0:00,9:46 AM,10:00 AM,2019,57,,A,A,,,7,,,PIP,
XZ56B,3,122321,Spring,5,4/25/2019 0:00,10:27 AM,10:30 AM,2019,57,,A,A,,,0,,,PIP,
X147B,3,122318,Spring,5,4/25/2019 0:00,10:41 AM,11:14 AM,2019,57,,A,A,,,,,,PIP,
B313,3,122340,Spring,5,4/25/2019 0:00,11:21 AM,11:40 AM,2019,58,,A,A,,,,,HBCT BBCT AND MPPA/Not rated due to school hours area closed,PIP,
Q448-ZN01A,12,122333,Spring,5,4/25/2019 0:00,11:50 AM,12:20 PM,2019,16,,A,A,,,7,Partial Constr./Rest of Site Rated.,Perfomance area under renovation,PIP,
Q107,13,122330,Spring,5,4/25/2019 0:00,10:25 AM,11:25 AM,2019,16,,A,A,,,23,,,PIP,
B251-ZN02,15,122331,Spring,5,4/25/2019 0:00,10:42 AM,12:03 PM,2019,11,,U,A,,,0,,,PIP,
R049,1,122323,Spring,5,4/25/2019 0:00,9:22 AM,9:28 AM,2019,1,,A,A,,,0,,,PIP,
M077-ZN04,9,122319,Spring,5,4/25/2019 0:00,10:33 AM,11:30 AM,2019,18,,A,A,,,10,,,PIP,
M042-ZN02,12,122322,Spring,5,4/25/2019 0:00,9:05 AM,10:05 AM,2019,18,,A,A,,,35,,,PIP,
X010-07,3,122314,Spring,5,4/25/2019 0:00,9:18 AM,9:43 AM,2019,57,,A,A,,,4,,,PIP,
X034-ZN01,4,122315,Spring,5,4/25/2019 0:00,9:15 AM,9:50 AM,2019,15,,A,A,,,15,,,PIP,
X344,4,122316,Spring,5,4/25/2019 0:00,10:00 AM,10:45 AM,2019,15,,A,A,,,5,,,PIP,
B407,2,122338,Spring,5,4/25/2019 0:00,10:05 AM,10:30 AM,2019,58,,A,A,,,,,,PIP,
X003-ZN02,11,122308,Spring,4,4/23/2019 0:00,9:44 AM,10:56 AM,2019,59,,A,A,,,12,,,PIP,
X126-ZN02,10,122309,Spring,4,4/23/2019 0:00,11:23 AM,12:15 PM,2019,59,,A,A,,,23,,,PIP,
Q015-ZN11,16,122312,Spring,4,4/23/2019 0:00,10:47 AM,12:20 PM,2019,18,58,A,A,,,25,,,PIP,
Q102-ZN03,5,122311,Spring,4,4/23/2019 0:00,12:24 PM,1:05 PM,2019,11,,A,A,,,200,Partial Constr./Rest of Site Rated.,"Path along west side zone, east of ballfields in zone two undergoing construction.",PIP,
Q020-ZN01,05A,122310,Spring,4,4/23/2019 0:00,10:30 AM,12:04 PM,2019,11,,U,A,,,60,,,PIP,
Q015-02,16,122313,Spring,4,4/23/2019 0:00,10:12 AM,10:40 AM,2019,58,18,A,A,,,,,,PIP,
B106A,13,122276,Spring,4,4/22/2019 0:00,10:50 AM,11:29 AM,2019,59,,U,A,,,16,,,PIP,
M127,12A,122260,Spring,4,4/22/2019 0:00,10:00 AM,10:08 AM,2019,1,,A,A,,,2,,,PIP,
QZ583,13,122280,Spring,4,4/22/2019 0:00,10:00 AM,10:10 AM,2019,18,,A,A,,,0,,,PIP,
B307,4,122285,Spring,4,4/22/2019 0:00,10:03 AM,10:33 AM,2019,58,,A,A,,,,,,PIP,
B283,5,122292,Spring,4,4/22/2019 0:00,1:19 PM,1:37 PM,2019,11,,A,A,,,0,,,PIP,
Q352,13,122267,Spring,4,4/22/2019 0:00,10:00 AM,10:26 AM,2019,57,,A,A,,,8,,,PIP,
BZ16,8,122301,Spring,4,4/22/2019 0:00,1:12 PM,1:25 PM,2019,58,,A,A,,,,,,PIP,
B332,4,122295,Spring,4,4/22/2019 0:00,10:38 AM,11:00 AM,2019,58,,A,A,,,,,,PIP,
B054-01,8,122299,Spring,4,4/22/2019 0:00,12:38 PM,1:10 PM,2019,58,,A,A,,,,,,PIP,
QZ349,7,122279,Spring,4,4/22/2019 0:00,11:09 AM,11:13 AM,2019,57,,A,A,,,0,,,PIP,
B350,8,122300,Spring,4,4/22/2019 0:00,11:45 AM,12:30 PM,2019,58,,A,A,,,,,,PIP,
B129-01,13,122278,Spring,4,4/22/2019 0:00,12:33 PM,12:52 PM,2019,59,,A,A,,,2,,,PIP,
BZ244,18,122273,Spring,4,4/22/2019 0:00,11:20 AM,11:25 AM,2019,15,,A,A,,,,,,PIP,
M107-01,11R,122264,Spring,4,4/22/2019 0:00,10:00 AM,10:15 AM,2019,3,,A,A,,,0,,,PIP,
M233,7,122268,Spring,4,4/22/2019 0:00,11:15 AM,11:30 AM,2019,3,,A,A,,,34,,,PIP,
MZ280,7,122265,Spring,4,4/22/2019 0:00,10:35 AM,10:40 AM,2019,3,,A,A,,,,,,PIP,
RZ267,3,122293,Spring,4,4/22/2019 0:00,11:25 AM,11:30 AM,2019,16,,A,A,,,0,,,PIP,
B209,15,122275,Spring,4,4/22/2019 0:00,10:02 AM,10:31 AM,2019,59,,U,A,,,26,,,PIP,
B147,18,122271,Spring,4,4/22/2019 0:00,10:35 AM,10:50 AM,2019,15,,A,A,,,,Closed / No Construct.,"Closed, only perimeter rated.",PIP,
B343,16,122290,Spring,4,4/22/2019 0:00,11:49 AM,12:26 PM,2019,11,,U,U,,,10,,,PIP,
QZ610,13,122286,Spring,4,4/22/2019 0:00,11:27 AM,11:36 AM,2019,18,,A,A,,,0,,,PIP,
B312,5,122291,Spring,4,4/22/2019 0:00,12:48 PM,1:06 PM,2019,11,,U,A,,,2,,,PIP,
M063,7,122270,Spring,4,4/22/2019 0:00,11:35 AM,11:50 AM,2019,3,,A,A,,,6,,,PIP,
Q133,13,122274,Spring,4,4/22/2019 0:00,10:36 AM,10:43 AM,2019,57,,A,A,,,1,,,PIP,
B296,13,122277,Spring,4,4/22/2019 0:00,11:40 AM,12:05 PM,2019,59,,A,A,,,0,,,PIP,
RZ21,2,122296,Spring,4,4/22/2019 0:00,12:35 PM,12:40 PM,2019,16,,A,A,,,0,,,PIP,
BZ384,18,122272,Spring,4,4/22/2019 0:00,11:05 AM,11:10 AM,2019,15,,A,A,,,,,,PIP,
B057-03,18,122269,Spring,4,4/22/2019 0:00,10:05 AM,10:30 AM,2019,15,,U,A,,,25,,,PIP,
M200A,7,122266,Spring,4,4/22/2019 0:00,10:50 AM,11:05 AM,2019,3,,A,A,,,11,,,PIP,
QZ533,13,122283,Spring,4,4/22/2019 0:00,10:32 AM,10:42 AM,2019,18,,A,A,,,0,,,PIP,
M037-01,12A,122262,Spring,4,4/22/2019 0:00,10:21 AM,10:42 AM,2019,1,,A,A,,,7,,,PIP,
QZ584,13,122282,Spring,4,4/22/2019 0:00,10:12 AM,10:22 AM,2019,18,,A,A,,,0,,,PIP,
M042-03,12,122263,Spring,4,4/22/2019 0:00,11:10 AM,11:23 AM,2019,1,,A,A,,,15,,,PIP,
R026,3,122294,Spring,4,4/22/2019 0:00,11:45 AM,12:15 PM,2019,16,,A,A,,,23,,,PIP,
Q406,13,122284,Spring,4,4/22/2019 0:00,10:57 AM,11:17 AM,2019,18,,A,A,,,0,,MPPA & HBCT unable to access due to locked gate.,PIP,
B258,3,122298,Spring,4,4/22/2019 0:00,11:06 AM,11:30 AM,2019,58,,A,A,,,,,,PIP,
R165,3,122288,Spring,4,4/22/2019 0:00,11:00 AM,11:10 AM,2019,16,,A,A,,,0,,,PIP,
B110,16,122289,Spring,4,4/22/2019 0:00,10:59 AM,11:31 AM,2019,11,,A,A,,,22,,,PIP,
R100,3,122287,Spring,4,4/22/2019 0:00,10:35 AM,10:50 AM,2019,16,,A,A,,,7,,,PIP,
Q357G,7,122281,Spring,4,4/22/2019 0:00,11:29 AM,11:35 AM,2019,57,,A,A,,,0,,,PIP,
M037-10,12A,122261,Spring,4,4/22/2019 0:00,10:11 AM,10:18 AM,2019,1,,A,A,,,4,,,PIP,
M077-ZN01,9,122256,Spring,4,4/19/2019 0:00,11:51 AM,12:43 PM,2019,59,57,A,A,,,13,,,PIP,
M010-ZN05,13,122251,Spring,4,4/19/2019 0:00,8:50 AM,9:50 AM,2019,58,,A,A,,,,,,PIP,
M028-ZN02A,14,122257,Spring,4,4/19/2019 0:00,9:55 AM,11:45 AM,2019,57,59,A,A,,,,,,PIP,
X253,15,122249,Spring,4,4/19/2019 0:00,10:21 AM,10:38 AM,2019,1,,A,A,,,7,,,PIP,
XZ189,13,122254,Spring,4,4/19/2019 0:00,9:10 AM,9:15 AM,2019,3,,A,A,,,,,,PIP,
X039-ZN09,15,122248,Spring,4,4/19/2019 0:00,9:03 AM,10:11 AM,2019,1,,A,A,,,0,,Some of the natural area not inspected due to forest restoration.,PIP,
Q164-ZN10A,14,122258,Spring,4,4/19/2019 0:00,10:50 AM,11:20 AM,2019,16,,A,A,,,3,,,PIP,
Q162J,14,122259,Spring,4,4/19/2019 0:00,11:55 AM,12:45 PM,2019,16,,U,A,,,11,,,PIP,
X039-99,15A,122250,Spring,4,4/19/2019 0:00,10:47 AM,10:53 AM,2019,1,,A,A,,,0,,,PIP,
B058-ZN06,1,122245,Spring,4,4/19/2019 0:00,9:46 AM,10:03 AM,2019,18,,A,A,,,3,,,PIP,
M010-ZN18&19,13,122252,Spring,4,4/19/2019 0:00,10:45 AM,12:30 PM,2019,58,,A,A,,,,,,PIP,
B223PA,1,122246,Spring,4,4/19/2019 0:00,9:21 AM,9:41 AM,2019,18,,A,A,,,0,,,PIP,
Q001-ZN08,07A,122253,Spring,4,4/19/2019 0:00,9:15 AM,10:45 AM,2019,15,,A,A,,,5,,,PIP,
X092-ZN18,13,122255,Spring,4,4/19/2019 0:00,9:25 AM,10:45 AM,2019,3,,U,U,,,16,,,PIP,
B401,1,122247,Spring,4,4/19/2019 0:00,10:10 AM,11:10 AM,2019,18,,A,A,,,7,,,PIP,
Q099-ZN11,15,122223,Spring,4,4/18/2019 0:00,9:45 AM,10:15 AM,2019,15,,A,A,,,25,,Flags not recommended along Passerelle Ramp nor at Dinkins Circle.,PIP,
BZ177,1,122229,Spring,4,4/18/2019 0:00,11:20 AM,11:25 AM,2019,3,,A,A,,,,,,PIP,
R119-01,3,122234,Spring,4,4/18/2019 0:00,9:48 AM,9:57 AM,2019,1,,A,A,,,0,,,PIP,
M203A,6,122221,Spring,4,4/18/2019 0:00,12:27 PM,12:43 PM,2019,11,,A,A,,,25,,,PIP,
X170,10,122239,Spring,4,4/18/2019 0:00,10:55 AM,11:15 AM,2019,16,,A,A,,,1,,,PIP,
Q099-ZN03,15,122222,Spring,4,4/18/2019 0:00,9:25 AM,9:40 AM,2019,15,,A,A,,,5,,,PIP,
Q009-ZN01,7,122233,Spring,4,4/18/2019 0:00,10:09 AM,10:59 AM,2019,18,,A,A,,,7,Partial Constr./Rest of Site Rated.,Espanade along perimeter of entire zone closed for renovation.,PIP,
BZ337,1,122230,Spring,4,4/18/2019 0:00,10:10 AM,10:15 AM,2019,3,,A,A,,,,,,PIP,
Q129,9,122227,Spring,4,4/18/2019 0:00,10:18 AM,11:22 AM,2019,57,,A,A,,,30,Partial Constr./Rest of Site Rated.,Plgd under reconstruction adj CS. NYPD activity at site during inspection.,PIP,
Q148,10,122224,Spring,4,4/18/2019 0:00,9:36 AM,9:41 AM,2019,57,,A,A,,,2,,,PIP,
R031-ZN03,3,122235,Spring,4,4/18/2019 0:00,10:04 AM,11:40 AM,2019,1,,U,A,,,16,,,PIP,
RZ27,2,122216,Spring,4,4/18/2019 0:00,11:36 AM,11:46 AM,2019,59,,A,A,,,0,,,PIP,
X065,9,122240,Spring,4,4/18/2019 0:00,11:35 AM,11:40 AM,2019,16,,A,A,,,,,,PIP,
XZ355,10,122237,Spring,4,4/18/2019 0:00,10:20 AM,10:30 AM,2019,16,,A,A,,,0,,,PIP,
X118-01,9,122241,Spring,4,4/18/2019 0:00,11:50 AM,12:00 PM,2019,16,,A,A,,,0,,,PIP,
B043,1,122226,Spring,4,4/18/2019 0:00,9:35 AM,9:50 AM,2019,3,,A,A,,,0,,,PIP,
XZ231,10,122238,Spring,4,4/18/2019 0:00,10:35 AM,10:40 AM,2019,16,,A,A,,,0,,,PIP,
MZ246,5,122218,Spring,4,4/18/2019 0:00,11:04 AM,11:11 AM,2019,11,,A,A,,,0,,,PIP,
B202,1,122232,Spring,4,4/18/2019 0:00,10:40 AM,10:45 AM,2019,3,,A,A,,,0,,,PIP,
BZ200,1,122231,Spring,4,4/18/2019 0:00,10:20 AM,10:25 AM,2019,3,,A,A,,,,,,PIP,
R120-ZN01,3,122215,Spring,4,4/18/2019 0:00,9:24 AM,11:01 AM,2019,59,,A,A,,,1,,,PIP,
X239,9,122242,Spring,4,4/18/2019 0:00,12:10 PM,12:20 PM,2019,16,,A,A,,,0,Closed / No Construct.,AF Gates Locked. Only exterior inspected,PIP,
Q337,9,122243,Spring,4,4/18/2019 0:00,11:41 AM,12:00 PM,2019,57,,U,U,,,4,,,PIP,
Q300A-ZN01,11,122236,Spring,4,4/18/2019 0:00,11:20 AM,12:10 PM,2019,18,,A,A,,,4,,,PIP,
M032,5,122220,Spring,4,4/18/2019 0:00,11:55 AM,12:06 PM,2019,11,,A,A,,,100,,,PIP,
M132,3,122217,Spring,4,4/18/2019 0:00,10:14 AM,10:34 AM,2019,11,,A,A,,,33,Partial Constr./Rest of Site Rated.,Area on the east side of playground undergoing renovation.,PIP,
B223QA,1,122228,Spring,4,4/18/2019 0:00,10:50 AM,11:00 AM,2019,3,,A,A,,,0,,,PIP,
Q099-ZN15,15,122225,Spring,4,4/18/2019 0:00,10:20 AM,10:55 AM,2019,15,,A,A,,,15,,,PIP,
Q373,3,122244,Spring,4,4/18/2019 0:00,11:41 AM,12:00 PM,2019,57,,A,A,,,100,Partial Constr./Rest of Site Rated.,Reconstruction of Plgd.,PIP,
MZ257,5,122219,Spring,4,4/18/2019 0:00,11:23 AM,11:30 AM,2019,11,,A,A,,,0,,,PIP,
B065-ZN10,13,122200,Spring,4,4/17/2019 0:00,10:35 AM,11:15 AM,2019,16,,A,A,,,23,,,PIP,
M027,2,122206,Spring,4,4/17/2019 0:00,9:40 AM,10:00 AM,2019,18,,A,A,,,1,,,PIP,
M037-ZN07,12A,122199,Spring,4,4/17/2019 0:00,10:20 AM,11:21 AM,2019,57,,A,A,,,22,,,PIP,
Q213,7,122203,Spring,4,4/17/2019 0:00,11:04 AM,11:07 AM,2019,1,,A,A,,,0,,,PIP,
M218,2,122211,Spring,4,4/17/2019 0:00,10:45 AM,10:55 AM,2019,18,,A,A,,,0,Under Construction.,External features rated.,PIP,
MZ459,1,122209,Spring,4,4/17/2019 0:00,11:10 AM,11:20 AM,2019,18,,A,A,,,3,,,PIP,
B169-ZN01B,13,122210,Spring,4,4/17/2019 0:00,11:45 AM,12:05 PM,2019,16,,A,A,,,23,,,PIP,
B066,10,122198,Spring,4,4/17/2019 0:00,10:58 AM,12:06 PM,2019,59,,A,A,,,36,,,PIP,
Q246,7,122204,Spring,4,4/17/2019 0:00,11:13 AM,11:18 AM,2019,1,,A,A,,,0,,,PIP,
M283-01,1,122208,Spring,4,4/17/2019 0:00,11:30 AM,11:45 AM,2019,18,,A,A,,,5,,,PIP,
Q211,7,122205,Spring,4,4/17/2019 0:00,11:30 AM,11:44 AM,2019,1,,A,A,,,75,,,PIP,
Q009-01,7,122201,Spring,4,4/17/2019 0:00,9:36 AM,9:54 AM,2019,1,,A,A,,,15,,,PIP,
Q387B,7,122202,Spring,4,4/17/2019 0:00,10:18 AM,10:54 AM,2019,1,,A,A,,,0,,,PIP,
M191,2,122213,Spring,4,4/17/2019 0:00,10:05 AM,10:20 AM,2019,18,,A,A,,,8,,,PIP,
MZ210,2,122214,Spring,4,4/17/2019 0:00,10:25 AM,10:35 AM,2019,18,,A,A,,,0,,,PIP,
M107-ZN06,11R,122207,Spring,4,4/17/2019 0:00,9:15 AM,9:53 AM,2019,57,,A,A,,,45,,,PIP,
B082-ZN02,10,122197,Spring,4,4/17/2019 0:00,9:46 AM,10:51 AM,2019,59,,A,A,,,9,,,PIP,
